regiao,spillover_RS_mi,pct_spillover,pegada_total_RS_mi
AC,14.1,0.08,42.0
AP,11.7,0.06,33.2
AM,298.9,1.65,1774.0
PA,204.5,1.13,476.6
RO,91.3,0.50,226.0
RR,8.9,0.05,20.9
TO,44.7,0.25,110.3
AL,75.2,0.42,171.0
BA,987.4,5.45,2220.4
CE,217.2,1.20,625.3
MA,143.6,0.79,322.8
PB,66.1,0.36,158.6
PE,278.1,1.53,648.3
PI,32.6,0.18,90.6
SE,146.4,0.81,297.3
RN,97.1,0.54,212.6
DF,173.2,0.96,395.6
GO,311.3,1.72,1000.4
MT,268.2,1.48,809.2
MS,108.6,0.60,338.7
MG,2345.9,12.94,7852.2
RJ,2669.2,14.73,6450.7
SP,6845.2,37.77,20075.7
PR,1109.2,6.12,3413.8
SC,624.6,3.45,1917.8
RS,949.6,5.24,3210.9
