setor_BR,share_export_%,wiod_D,upstreamness
Agric/silvic,5.38,1,2.368
Pecuaria/pesca,0.26,1,2.368
Mineracao,40.68,4,3.822
Alimentos,1.77,5,1.553
Textil,0.04,6,1.473
Madeira/papel,10.32,8,2.956
Refino,1.30,10,2.721
Quimicos,0.28,11,2.544
Borracha/plast,0.35,13,2.697
Min nao-metal,4.65,14,2.470
Metalurgia,20.37,15,3.102
Maquinas,0.08,19,1.661
Eletro,0.08,17,1.381
Transporte(mat),0.04,20,1.524
Ind diversas,0.08,22,2.146
Eletric/gas/agua,0.00,24,2.534
Construcao,0.22,27,1.273
Comercio,5.51,29,1.971
Transp/armaz,6.65,31,2.270
Serv privados,0.27,45,3.006
Interm financeira,0.13,41,2.027
Imobiliario,0.10,44,1.339
Aloj/alim,1.26,36,1.321
Educacao,0.01,52,1.127
Saude,0.03,53,1.060
Adm publica,0.14,51,1.087
ES_PAUTA,100.00,,3.118
