setor,Metropolitana,Central Serrana,Sudoeste Serrana,Litoral Sul,Central Sul,Caparaó,Rio Doce,Centro-Oeste,Nordeste,Noroeste
Agricultura,0.039,6.665,5.848,1.654,1.051,5.612,1.200,3.010,3.971,3.261
Pecuária,0.049,21.907,5.307,1.266,1.027,3.424,0.639,1.378,2.061,5.761
Florestal/pesca,0.356,1.602,1.020,8.189,0.157,0.723,1.330,0.892,3.644,0.801
Extr. carvão/não-met.,0.183,1.060,1.577,0.306,3.691,0.481,0.459,3.543,0.100,17.659
Extr. petróleo e gás,1.192,0.000,0.000,0.016,0.000,0.000,1.215,0.000,2.632,0.000
Extr. minério de ferro,0.977,0.000,0.000,9.534,0.000,0.000,0.000,0.000,0.000,0.000
Alimentos e bebidas,0.764,0.959,2.123,1.018,1.813,0.437,1.286,2.398,0.702,1.387
Têxtil/vestuário,0.581,0.149,0.897,0.067,1.483,1.525,0.500,9.636,0.173,0.309
Madeira e móveis,0.524,2.802,2.010,0.446,0.888,1.746,3.113,2.889,0.386,0.401
Celulose e papel,0.177,0.071,0.000,0.000,0.009,0.026,8.187,0.019,0.343,0.000
Refino de petróleo,0.670,0.000,0.000,0.000,0.000,0.000,2.827,0.000,5.818,0.000
Químicos/borracha/plást.,1.356,0.117,0.233,0.363,0.296,0.169,0.860,0.262,0.121,0.181
Minerais não-metálicos,0.444,0.459,0.693,0.847,7.687,0.162,0.288,1.448,0.198,3.802
Metalurgia,1.556,0.000,0.000,0.007,0.032,0.000,0.236,0.075,0.000,0.000
Prod. de metal/máq.,0.788,0.193,0.394,0.362,0.778,0.101,3.471,0.527,0.780,0.173
Automóveis/caminhões,0.192,0.607,0.120,0.571,0.472,0.058,7.155,0.672,0.511,0.006
Eletricidade e gás,0.785,1.174,1.900,1.938,1.228,3.437,1.062,1.693,0.561,0.932
Construção,1.037,1.124,1.419,1.200,0.772,0.908,0.832,1.122,0.834,0.786
Comércio,1.133,1.016,1.002,0.434,0.855,1.173,0.588,1.101,0.666,1.070
Transporte,1.040,0.693,0.996,0.719,1.367,0.848,0.749,1.097,0.945,0.825
Armaz./aux. transp.,1.290,0.201,0.289,0.235,0.570,0.802,0.696,0.461,0.453,0.522
Alojam./alimentação,1.080,0.992,1.438,0.579,0.944,0.911,0.733,0.959,0.994,0.764
Informação,1.079,0.802,1.579,1.264,0.883,1.080,0.587,1.033,0.658,0.870
Financeiro/seguros,1.026,1.424,1.406,0.889,1.042,1.392,0.519,1.349,0.913,1.189
Imobiliárias,1.035,0.716,0.950,0.849,1.149,1.334,0.664,1.250,0.928,1.092
Prof./cient./técn.,1.213,0.433,0.564,0.517,0.843,0.979,0.536,0.738,0.715,0.487
Administrativas,1.174,0.624,0.725,0.475,1.259,0.544,0.611,0.609,0.717,0.501
Administração pública,1.031,1.077,1.591,0.906,1.005,1.688,0.561,1.099,0.845,1.413
Educação pública,0.901,1.383,1.233,0.764,1.043,2.946,0.610,1.507,1.521,1.687
Educação privada,1.033,0.983,1.424,0.707,0.955,1.460,0.642,1.448,0.962,0.911
Saúde pública,1.157,0.491,0.638,0.239,1.346,1.432,0.551,0.908,0.535,0.636
Saúde privada,1.020,0.693,1.116,0.599,0.957,1.986,0.803,1.191,1.109,0.884
Artísticas/criativas,1.160,0.749,0.818,0.381,0.836,1.079,0.703,0.852,0.753,0.626
Associativas,1.118,0.849,1.080,0.659,0.997,0.823,0.610,1.017,0.812,0.753
Serviços domésticos,0.945,1.171,1.410,0.782,1.511,1.918,0.613,1.369,1.059,1.235
